,train,val,test
0,pca_54853,pca_58343,pca_26197
1,pca_57574,pca_33026,pca_57176
2,pca_32884,pca_58991,pca_54910
3,pca_56320,pca_54845,pca_58838
4,pca_58954,pca_33520,pca_55857
5,pca_57174,pca_55858,pca_57870
6,pca_58363,pca_153,pca_2484
7,pca_56384,pca_55860,pca_26148
8,pca_54839,pca_3287,pca_57547
9,pca_56452,pca_33888,pca_57180
10,pca_51657,pca_33204,pca_58347
11,pca_50963,pca_54867,pca_55843
12,pca_2174,pca_53556,pca_53448
13,pca_22705,pca_56382,pca_57862
14,pca_58252,pca_55816,pca_55853
15,pca_33762,pca_54906,pca_57545
16,pca_21769,pca_55822,pca_55849
17,pca_58419,pca_58399,pca_54868
18,pca_54870,pca_56459,pca_53458
19,pca_58313,pca_56440,pca_55839
20,pca_59010,pca_58956,pca_58341
21,pca_3661,pca_42717,pca_54916
22,pca_56432,pca_19300,pca_34164
23,pca_41268,pca_35230,pca_58948
24,pca_53549,pca_56417,pca_26640
25,pca_22039,pca_22925,pca_21532
26,pca_57570,pca_54851,pca_19244
27,pca_55868,pca_32005,pca_55847
28,pca_57515,pca_35919,pca_57170
29,pca_58401,pca_54860,pca_58438
30,pca_57529,pca_58423,pca_58264
31,pca_21674,pca_57864,pca_58397
32,pca_58393,pca_35172,pca_56412
33,pca_51654,pca_54001,pca_55866
34,pca_57216,pca_56406,pca_55814
35,pca_58160,,
36,pca_59004,,
37,pca_26840,,
38,pca_58339,,
39,pca_51455,,
40,pca_57164,,
41,pca_30460,,
42,pca_33220,,
43,pca_58281,,
44,pca_55864,,
45,pca_57868,,
46,pca_57866,,
47,pca_56421,,
48,pca_58421,,
49,pca_54050,,
50,pca_57565,,
51,pca_33708,,
52,pca_57557,,
53,pca_56434,,
54,pca_58227,,
55,pca_57160,,
56,pca_57172,,
57,pca_58328,,
58,pca_57789,,
59,pca_58291,,
60,pca_56390,,
61,pca_55820,,
62,pca_58826,,
63,pca_56436,,
64,pca_54077,,
65,pca_57518,,
66,pca_55802,,
67,pca_58304,,
68,pca_57572,,
69,pca_58427,,
70,pca_58306,,
71,pca_2241,,
72,pca_53314,,
73,pca_33576,,
74,pca_33810,,
75,pca_58950,,
76,pca_339,,
77,pca_54909,,
78,pca_59018,,
79,pca_59034,,
80,pca_25866,,
81,pca_55807,,
82,pca_26466,,
83,pca_55862,,
84,pca_58276,,
85,pca_53331,,
86,pca_57801,,
87,pca_56430,,
88,pca_55833,,
89,pca_30466,,
90,pca_3838,,
91,pca_2493,,
92,pca_55810,,
93,pca_53329,,
94,pca_55836,,
95,pca_15987,,
96,pca_57178,,
97,pca_56428,,
98,pca_2170,,
99,pca_53782,,
100,pca_22534,,
101,pca_55851,,
102,pca_55824,,
103,pca_57166,,
104,pca_58952,,
105,pca_57524,,
106,pca_58203,,
107,pca_55841,,
108,pca_57528,,
109,pca_26268,,
110,pca_58301,,
111,pca_57880,,
112,pca_58199,,
113,pca_57876,,
114,pca_57522,,
115,pca_55838,,
116,pca_55855,,
117,pca_26152,,
118,pca_57513,,
119,pca_55826,,
120,pca_56461,,
121,pca_56398,,
122,pca_57533,,
123,pca_57858,,
124,pca_58330,,
125,pca_57670,,
126,pca_54848,,
127,pca_54855,,
128,pca_59026,,
129,pca_53321,,
130,pca_56410,,
131,pca_2229,,
132,pca_56386,,
133,pca_57543,,
134,pca_58797,,
135,pca_24824,,
136,pca_30440,,
137,pca_59030,,
138,pca_695,,
139,pca_56451,,
140,pca_54841,,
141,pca_58345,,
142,pca_54089,,
143,pca_56447,,
144,pca_58335,,
145,pca_55845,,
146,pca_21572,,
147,pca_57168,,
148,pca_57678,,
149,pca_55831,,
150,pca_58828,,
151,pca_26077,,
152,pca_34185,,
153,pca_59060,,
154,pca_24420,,
155,pca_55828,,
156,pca_58261,,
157,pca_22888,,
158,pca_22892,,
159,pca_32022,,
160,pca_59062,,
161,pca_59002,,
