,train,val,test
0,pca_55820,pca_33220,pca_21572
1,pca_55849,pca_26152,pca_58160
2,pca_58826,pca_26268,pca_35172
3,pca_54853,pca_57176,pca_56386
4,pca_55814,pca_54916,pca_58952
5,pca_57180,pca_3661,pca_57670
6,pca_56436,pca_57678,pca_26640
7,pca_54077,pca_55843,pca_57574
8,pca_57518,pca_58341,pca_58393
9,pca_57870,pca_34185,pca_57528
10,pca_54001,pca_55838,pca_55833
11,pca_55853,pca_58304,pca_32022
12,pca_19300,pca_59060,pca_58347
13,pca_57862,pca_2484,pca_57522
14,pca_53556,pca_35919,pca_339
15,pca_55802,pca_2174,pca_53448
16,pca_58306,pca_55855,pca_50963
17,pca_2241,pca_42717,pca_3287
18,pca_58363,pca_53321,pca_56440
19,pca_53314,pca_30460,pca_56421
20,pca_33576,pca_58421,pca_57164
21,pca_33810,pca_58264,pca_54851
22,pca_58950,pca_33520,pca_58291
23,pca_19244,pca_55847,pca_3838
24,pca_54839,pca_58427,
25,pca_54910,pca_2170,
26,pca_59018,pca_57216,
27,pca_55839,pca_56390,
28,pca_55862,pca_57557,
29,pca_58252,pca_57547,
30,pca_53331,pca_51657,
31,pca_21769,pca_58199,
32,pca_26148,pca_55858,
33,pca_57801,pca_22888,
34,pca_55816,,
35,pca_57864,,
36,pca_55836,,
37,pca_56459,,
38,pca_22925,,
39,pca_58956,,
40,pca_57178,,
41,pca_56428,,
42,pca_53782,,
43,pca_22534,,
44,pca_57170,,
45,pca_55851,,
46,pca_55824,,
47,pca_53549,,
48,pca_55866,,
49,pca_22039,,
50,pca_57166,,
51,pca_57570,,
52,pca_58203,,
53,pca_57529,,
54,pca_21674,,
55,pca_56382,,
56,pca_153,,
57,pca_58301,,
58,pca_57880,,
59,pca_57876,,
60,pca_58438,,
61,pca_35230,,
62,pca_55857,,
63,pca_21532,,
64,pca_57513,,
65,pca_56461,,
66,pca_56398,,
67,pca_56412,,
68,pca_57533,,
69,pca_57858,,
70,pca_59026,,
71,pca_58339,,
72,pca_54845,,
73,pca_26197,,
74,pca_58838,,
75,pca_32884,,
76,pca_56320,,
77,pca_58954,,
78,pca_57572,,
79,pca_57174,,
80,pca_56384,,
81,pca_54909,,
82,pca_56452,,
83,pca_59034,,
84,pca_25866,,
85,pca_55807,,
86,pca_26466,,
87,pca_22705,,
88,pca_55860,,
89,pca_58276,,
90,pca_33762,,
91,pca_58419,,
92,pca_58397,,
93,pca_33026,,
94,pca_56430,,
95,pca_30466,,
96,pca_54870,,
97,pca_58313,,
98,pca_59010,,
99,pca_2493,,
100,pca_55810,,
101,pca_53329,,
102,pca_15987,,
103,pca_56432,,
104,pca_41268,,
105,pca_55822,,
106,pca_58991,,
107,pca_57524,,
108,pca_55868,,
109,pca_55841,,
110,pca_57515,,
111,pca_58401,,
112,pca_51654,,
113,pca_58423,,
114,pca_55826,,
115,pca_59004,,
116,pca_58330,,
117,pca_26840,,
118,pca_54848,,
119,pca_54855,,
120,pca_2229,,
121,pca_51455,,
122,pca_58797,,
