,train,val,test
0,pca_55820,pca_55838,pca_56406
1,pca_55849,pca_57801,pca_19244
2,pca_58347,pca_57528,pca_54841
3,pca_58826,pca_33220,pca_22534
4,pca_54853,pca_42717,pca_55843
5,pca_55814,pca_2174,pca_53331
6,pca_57180,pca_53314,pca_57864
7,pca_56436,pca_19300,pca_34185
8,pca_26640,pca_55855,pca_55836
9,pca_54077,pca_58341,pca_59002
10,pca_57574,pca_22039,pca_55864
11,pca_54916,pca_59060,pca_53556
12,pca_57518,pca_58956,pca_32022
13,pca_57870,pca_24420,pca_21532
14,pca_54001,pca_58339,pca_54909
15,pca_55853,pca_58948,pca_51455
16,pca_57862,pca_35919,pca_58954
17,pca_55802,pca_26268,pca_54855
18,pca_58304,pca_58345,pca_58421
19,pca_58306,pca_53321,pca_51654
20,pca_2241,pca_57216,pca_57572
21,pca_58363,pca_55868,pca_58423
22,pca_33576,pca_56430,pca_53329
23,pca_33810,pca_55858,pca_57168
24,pca_58950,pca_59034,
25,pca_54839,pca_56390,
26,pca_54910,pca_59062,
27,pca_59018,pca_339,
28,pca_55839,pca_22888,
29,pca_55862,pca_41268,
30,pca_58252,pca_55826,
31,pca_21769,pca_57524,
32,pca_26148,pca_56421,
33,pca_55833,pca_54860,
34,pca_55816,,
35,pca_35172,,
36,pca_3661,,
37,pca_56459,,
38,pca_22925,,
39,pca_57178,,
40,pca_56428,,
41,pca_53782,,
42,pca_57170,,
43,pca_55851,,
44,pca_55824,,
45,pca_53549,,
46,pca_55866,,
47,pca_57166,,
48,pca_58952,,
49,pca_57570,,
50,pca_58203,,
51,pca_2484,,
52,pca_57529,,
53,pca_21674,,
54,pca_56382,,
55,pca_153,,
56,pca_58393,,
57,pca_58301,,
58,pca_57880,,
59,pca_57876,,
60,pca_58438,,
61,pca_57522,,
62,pca_35230,,
63,pca_55857,,
64,pca_26152,,
65,pca_57513,,
66,pca_56461,,
67,pca_56398,,
68,pca_56412,,
69,pca_57533,,
70,pca_58160,,
71,pca_57858,,
72,pca_54845,,
73,pca_26197,,
74,pca_58838,,
75,pca_32884,,
76,pca_56320,,
77,pca_58427,,
78,pca_57174,,
79,pca_54851,,
80,pca_56384,,
81,pca_56452,,
82,pca_25866,,
83,pca_51657,,
84,pca_55807,,
85,pca_26466,,
86,pca_50963,,
87,pca_22705,,
88,pca_55860,,
89,pca_58276,,
90,pca_33762,,
91,pca_58419,,
92,pca_58397,,
93,pca_33026,,
94,pca_30466,,
95,pca_3838,,
96,pca_54870,,
97,pca_58313,,
98,pca_59010,,
99,pca_2493,,
100,pca_55810,,
101,pca_15987,,
102,pca_56432,,
103,pca_2170,,
104,pca_55822,,
105,pca_58991,,
106,pca_55841,,
107,pca_57515,,
108,pca_58401,,
109,pca_53448,,
110,pca_58199,,
111,pca_59004,,
112,pca_58330,,
113,pca_26840,,
114,pca_54848,,
115,pca_2229,,
116,pca_56440,,
117,pca_57164,,
118,pca_58797,,
119,pca_58281,,
120,pca_55847,,
121,pca_30440,,
122,pca_59030,,
